crh_Latn,ukr
AQŞ vitseprezidenti birinci kerek Ukrainağa qarşi rus tecavuzini tasvir etti ve sanktsiyalar aqqinla hatirlatti,Віцепрезидентка США вперше прокоментувала російську агресію щодо України та нагадала про санкції
Buük Britaniya RF duşman devletler cedveline qoşti,Велика Британія додала РФ до списку найворожіших держав
Rusiyege qarşi miqyas sanktsiyalar endi azir - Avropa komissiyaniñ başi,Масштабні санкції щодо Росії вже готові - Голова Єврокомісії
"Putin, “telükesizlik kefaletlerine” riayet etmemesine AQŞ ve NATO’nı “türlü cevaplarnen” qorquttı","Путін пригрозив""різними"" відповідями США і НАТО на недотримання ""гарантій безпеки"""
"Cenk olğan alda RF, Ukrainanıñ cenübine basqısı içün Azaq deñizdeki imtiyazını qullanacaq - Kuleba ",В разі війни РФ використає перевагу в Азовському морі для тиску на південь України - Кулеба
Siyasiy mabusı Teymur Abdullayevni cezalav taqiqat tevqifhanesinden baraqqa alıp keçirdiler,Політв'язня Теймура Абдуллаєва перевели із ШІЗО до барака
Qurtarıcılar işğal etilgen Qırımda çığlarnıñ aqıp kelüv havfı aqqında ihtar eteler,Рятувальники попереджають про загрозу сходження лавин в окупованому Криму
Qırımda ve Aqyarda işğalcılar koronavirusnıñ 178 yañı vaqianı qayd ettiler,В АР Крим та Севастополі окупанти зафіксували 178 нових випадків COVID-19
"Ukraina, işğal etilgen Qırımdaki demografik vaziyetiniñ deñişüvlerni tetqiq etmek kerek - uquq qoruyıcılar",Україна має розслідувати зміни демографічної ситуації в окупованому Криму - правозахисники
İşğaşcılar Qırımda Qara deñiz flotnıñ taqım terkibiniñ toplavını keçirdiler,Окупанти провели у Криму збір командного складу Чорноморського флоту
UEQM makemecisinde işğal etilgen Qırımda  4 million grivna miqdarına resmiyleştirilmegen köçmez mülkini taptılar,У судді КСУ знайшли незадекларовану нерухомість в окупованому Криму на 4 мільйона гривень
"Rusiye, Qırımnıñ işğalinden soñ QF gemilerniñ miqdarını üç kerege artqan - Ukraina ADQ",Росія після окупації Криму втричі збільшила чисельність кораблів ЧФ - ВМС України
Qırımda ve Aqyarda işğalcılar koronavirusnıñ 175 yañı vaqianı qayd ettiler,В АР Крим та Севастополі окупанти зафіксували 175 нових випадків COVID-19
RF’da işğal etilgen Qırımdan  ve ukrain sıñırından arbiylerniñ çeküviniñ başlanuvı aqqında ilân ettiler  ,У РФ заявили про початок відведення військ з окупованого Криму та від українського кордону
"63 yaşında olğan Zekirya Muratovnıñ davasınıñ oturışında dört şaat, FTH agentiniñ adını aytqan",На засіданні у справі 63-річного Зекір'ї Муратова чотири свідки назвали ім'я агента ФСБ
İşkencelerge qarşı narazılıq bildirmek içün Nariman Ametovnıñ evi yanında yüzlerce qırımtatarı toplanğan ,Біля будинку Нарімана Аметова на знак протесту проти тортур зібралися сотні кримських татар 
Nariman Ametovnıñ işkenceleri sebebinden “Qırım birdemligine” video muracaatlar kelmege başladı,До «Кримської солідарності» почали надходити відеозвернення з приводу тортур Нарімана Аметова
RF arbiyleri işğal etilgen Qırımdaki operativ uçaq limanlarına aviatsıyasınıñ başqa yerge yerleştirüvini yahşı etip işlediler,Військові РФ відпрацювали перекидання авіації на оперативні аеродроми окупованого Криму
Qırım advokatları İAAŞ’na tınç toplaşuvlar içün mahküm etilgen faallerniñ “dava” malümatlarnı azırlaylaylar,"Кримські адвокати готують до ЄСПЛ матеріали «справ» активістів, засуджених за мирні зібрання"
"TİN, Ukrainanen Donbassta arbiy ameliyatınıñ azırlanması aqqında Putinniñ sözlerine cevap berdi",МЗС відповіло на слова Путіна про підготовку Україною військової операції на Донбасі
"Ukraina, RF’nen mallarına embargonı daa bir yılğa uzattı",Україна ще на рік продовжила ембарго на товари з РФ
"Lenur İslâmov, RF Yuqarı Şurasında ğıyabiy ükümniñ lâğu etilmesini alıp olamadı",Ленур Іслямов не зміг домогтися у Верховному суді РФ скасування заочного вироку
