crh_Cyrl,eng
Бундан да яхшы зевкъ олурмы!, % It couldn't be better!
"Том ичикъаралыкънен индемейип, тизеси кельгенге къадар отура берди.Полли апте шекерликнинъ къырыкъ парчаларына козьликлери устюнден бакъып ачув йылдырымларыны ягъдырмакъта эди.",He was so brimful of exultation that he could hardly hold himself when the old lady came back and stood above the wreck discharging lightnings of wrath from over her spectacles.
Том озь озюне:,"He said to himself,"
"«Мына, башланаятыр!..» деди.","""Now it's coming!"""
"Лякин экинджи дакъкъасында о, энди ерде ята эди!", And the next instant he was sprawling on the floor!
"Тизесининъ агъыр къолу бир даа онынъ узерине энмек ичюн авагъа котерильди. Шунда Том козьяшларыны туталмайып, къычырды:",The potent palm was uplifted to strike again when Tom cried out:
– Токътанъыз! Токътанъыз! Сиз мени не ичюн урасынъыз! Шекерликни Сид парлады!,"""Hold on, now, what 'er you belting ME for?—Sid broke it!"""
Полли апте утангъанындан токътады.,"Aunt Polly paused, perplexed,"
"Том шимди тизеси оны аджыр ве озь къабаатыны бир де-бир шейчикнен ювар, деп бекледи.", Аnd Tom looked for healing pity.
"Лякин Полли апте озюни эльге алгъанынен, ялынъыз шуны айта бильди:","But when she got her tongue again, she only said:"
– Хм!,"""Umf!"
Эписи бир санъа ботен ерде тюшмеди.,"Well, you didn't get a lick amiss, I reckon."
Бельки мен одадан чыкъкъанымда эписи бир ярамазлыкъ япкъандырсынъ.,"You been into some other audacious mischief when I wasn't around, like enough."""
